country,color,manager,nickname,value,association,topscorer,captain,mostcaps,euro_appearances,euro_titles
France,"rgb(18,49,99)",Didier Deschamps,Les Blues,,FFF,Thierry Henry (51),Hugo Lloris,Lilian Thuram (142),8,2
Romania,"rgb(252,230,73)",Anghel Iordănescu,Tricolorii,,FRF,"Gheorghe Hagi (35), Adrian Mutu (35)",Răzvan Raț,Dorinel Munteanu (134),4,0
Albania,"rgb(204,0,0)",Gianni De Biasi,Kuq e Zinjtë,,FSHF,Erjon Bogdani (18),Lorik Cana,Lorik Cana (89),0,0
Switzerland,"rgb(223,0,0)",Vladimir Petković,Schweizer pati,,SFA,Alexander Frei (42),Gökhan Inler,Heinz Hermann (117),3,0
England,"rgb(219,51,24)",Roy Hodgson,The Three Lions,,FA,Wayne Rooney (51),Wayne Rooney,Peter Shilton (125),8,0
Russia,"rgb(144,40,29)",Leonid Slutsky,Sbornaya,,RFU,Aleksandr Kerzhakov (30),Roman Shirokov,Sergei Ignashevich (114),10,1
Wales,"rgb(219,51,24)",Chris Coleman,Y Dreigiau,,FAW,Ian Rush (28),Ashley Williams,Neville Southall (92),0,0
Slovakia,"rgb(9,70,255)",Ján Kozák,Repre / Naši,,SFZ,Róbert Vittek (23),Martin Škrtel,Miroslav Karhan (107),0,0
Germany,"rgb(0,0,0)",Joachim Löw,Die Mannschaft,,DFB,Miroslav Klose (71),Bastian Schweinsteiger,Lothar Matthäus (150),11,3
Ukraine,"rgb(255,228,7)",Mykhaylo Fomenko,The Blue and Yellows,,FFU,Andriy Shevchenko (48),Anatoliy Tymoshchuk,Anatoliy Tymoshchuk (141),1,0
Poland,"rgb(255,0,0)",Adam Nawałka,The White and Reds,,PZPN,Włodzimierz Lubański (48),Robert Lewandowski,Michał Żewłakow (102),2,0
Northern Ireland,"rgb(30,93,83)",Michael O'Neill,Norn Iron,,IFA,David Healy (36),Steven Davis,Pat Jennings (119),0,0
Spain,"rgb(206,33,52)",Vicente del Bosque,La Furia Roja,,RFEF,David Villa (59),Iker Casillas,Iker Casillas (165),9,3
Czech Republic,"rgb(227,27,35)",Pavel Vrba,Nároďák,,FAČR,Jan Koller (55),Petr Čech,"Karel Poborský (118), Petr Čech (118)",8,1
Turkey,"rgb(237,28,36)",Fatih Terim,The Crescent-Stars,,TTF,Hakan Şükür (51),Arda Turan,Rüştü Reçber (120),3,0
Croatia,"rgb(29,67,155)",Ante Čačić,Vatreni,,CFF,Davor Šuker (45),Darijo Srna,Darijo Srna (127),4,0
Belgium,"rgb(228,56,34)",Marc Wilmots,The Red Devils,,KBVB/URBSFA,"Bernard Voorhoof (30), Paul Van Himst (30)",Vincent Kompany,Jan Ceulemans (96),4,0
Italy,"rgb(27,91,164)",Antonio Conte,Azzurri,,IFF,Luigi Riva (35),Gianluigi Buffon,Gianluigi Buffon (154),8,1
Rep Ireland,"rgb(0,151,74)",Martin O'Neill,The Boys in Green,,FAI,Robbie Keane (67),Robbie Keane,Robbie Keane (143),2,0
Sweden,"rgb(251,227,50)",Erik Hamrén,Blågult,,SvFF,Zlatan Ibrahimović (62),Zlatan Ibrahimović,Anders Svensson (148),5,0
Portugal,"rgb(143,41,46)",Fernando Santos,Selecção das Quinas,,FPF,Cristiano Ronaldo (55),Cristiano Ronaldo,Luís Figo (127),6,0
Iceland,"rgb(0,94,173)",Lars Lagerbäck,Strakamir Okkar,,KSÍ,Eiður Smári Guðjohnsen (25),Aron Einar Gunnarsson,Rúnar Kristinsson (104),0,0
Austria,"rgb(237,28,36)",Marcel Koller,Wunderteam,,ÖFB,Anton Polster (44),Christian Fuchs,Andreas Herzog (103),1,0
Hungary,"rgb(227,27,35)",Bernd Storck,Nemzeti Tizenegy,,MLSZ,Ferenc Puskás (84),Balázs Dzsudzsák,"József Bozsik (101), Gábor Király (101)",2,0