name_api.fd.org,name_fd.co.uk
ADO Den Haag,Den Haag
AZ Alkmaar,AZ Alkmaar
Ajax Amsterdam,Ajax
De Graafschap,Graafschap
Excelsior,Excelsior
FC Groningen,Groningen
FC Twente Enschede,Twente
FC Utrecht,Utrecht
Feyenoord Rotterdam,Feyenoord
Heracles Almelo,Heracles
NEC Nijmegen,Nijmegen
PEC Zwolle,Zwolle
PSV Eindhoven,PSV Eindhoven
Roda JC Kerkrade,Roda
SC Cambuur-Leeuwarden,Cambuur
SC Heerenveen,Heerenveen
Vitesse Arnhem,Vitesse
Willem II,Willem II
AC Chievo Verona,Chievo
AC Milan,Milan
ACF Fiorentina,Fiorentina
AS Roma,Roma
Atalanta BC,Atalanta
Bologna FC,Bologna
Carpi FC,Carpi
Empoli FC,Empoli
FC Internazionale Milano,Inter
Frosinone Calcio,Frosinone
Genoa CFC,Genoa
Hellas Verona FC,Verona
Juventus Turin,Juventus
SS Lazio,Lazio
SSC Napoli,Napoli
Torino FC,Torino
UC Sampdoria,Sampdoria
US Cittá di Palermo,Palermo
US Sassuolo Calcio,Sassuolo
Udinese Calcio,Udinese
AFC Bournemouth,Bournemouth
Arsenal FC,Arsenal
Aston Villa FC,Aston Villa
Chelsea FC,Chelsea
Crystal Palace FC,Crystal Palace
Everton FC,Everton
Leicester City FC,Leicester
Liverpool FC,Liverpool
Manchester City FC,Man City
Manchester United FC,Man United
Newcastle United FC,Newcastle
Norwich City FC,Norwich
Southampton FC,Southampton
Stoke City FC,Stoke
Sunderland AFC,Sunderland
Swansea City FC,Swansea
Tottenham Hotspur FC,Tottenham
Watford FC,Watford
West Bromwich Albion FC,West Brom
West Ham United FC,West Ham
AS Monaco FC,Monaco
AS Saint-Étienne,St Etienne
Angers SCO,Angers
EA Guingamp,Guingamp
ES Troyes AC,Troyes
FC Girondins de Bordeaux,Bordeaux
FC Lorient,Lorient
FC Nantes,Nantes
Gazélec Ajaccio,Ajaccio GFCO
Montpellier Hérault SC,Montpellier
OGC Nice,Nice
OSC Lille,Lille
Olympique Lyonnais,Lyon
Olympique de Marseille,Marseille
Paris Saint-Germain,Paris SG
SC Bastia,Bastia
SM Caen,Caen
Stade Rennais FC,Rennes
Stade de Reims,Reims
Toulouse FC,Toulouse
1. FC Köln,FC Koln
1. FSV Mainz 05,Mainz
Bayer Leverkusen,Leverkusen
Bor. Mönchengladbach,"M'gladbach"
Borussia Dortmund,Dortmund
Eintracht Frankfurt,Ein Frankfurt
FC Augsburg,Augsburg
FC Bayern München,Bayern Munich
FC Ingolstadt 04,Ingolstadt
FC Schalke 04,Schalke 04
Hamburger SV,Hamburg
Hannover 96,Hannover
Hertha BSC,Hertha
SV Darmstadt 98,Darmstadt
TSG 1899 Hoffenheim,Hoffenheim
VfB Stuttgart,Stuttgart
VfL Wolfsburg,Wolfsburg
Werder Bremen,Werder Bremen
Athletic Club,Ath Bilbao
Club Atlético de Madrid,Ath Madrid
FC Barcelona,Barcelona
Getafe CF,Getafe
Granada CF,Granada
Levante UD,Levante
Málaga CF,Malaga
RC Celta de Vigo,Celta
RC Deportivo La Coruna,La Coruna
RCD Espanyol,Espanol
Rayo Vallecano de Madrid,Vallecano
Real Betis,Betis
Real Madrid CF,Real Madrid
Real Sociedad de Fútbol,Sociedad
SD Eibar,Eibar
Sevilla FC,Sevilla
Sporting Gijón,Sp Gijon
UD Las Palmas,Las Palmas
Valencia CF,Valencia
Villarreal CF,Villarreal
Académica de Coimbra,Academica
Belenenses Lissabon,Belenenses
Benfica Lissabon,Benfica
Boavista Porto FC,Boavista
CD Tondela,Tondela
FC Arouca,Arouca
FC Paços de Ferreira,Pacos Ferreira
FC Porto,Porto
FC Rio Ave,Rio Ave
GD Estoril Praia,Estoril
Maritimo Funchal,Maritimo
Moreirense FC,Moreirense
Nacional Funchal,Nacional
Sporting Braga,Sp Braga
Sporting Lisbon,Sp Lisbon
União Madeira,Uniao Madeira
Vitoria Guimaraes,Guimaraes
Vitoria Setubal,Setubal